170107	609.5	37	26.3	1464
170416	523.2	39.7	27.5	1464
170428	991.7	40	27.4	1464
170712	312.79	38.5	26.5	1464
170707	235.2	35.9	26.9	1464
170906	390.3	38.9	26.6	1464
171003	463.2	40.5	35.4	1464
171004	304.0	38.5	33	1464
171019	460.8	37	26.3	1464
171020	114.1	38.4	25.8	1464
171116	618.5	35.8	37.5	1464
171213	158.6	36.8	39.7	1464
171216	203.1	37.2	28.7	1464
180110	715.7	38.8	26	1464
180119	402.7	35.6	37.9	1464
180128.0	441.4	32.3	26.6	1464
180128.2	495.9	40.5	28.5	1464
180130	343.5	38.7	26.1	1464
180131	657.7	39.5	26.9	1464
180212	167.5	30.5	26.3	1464
180315	479.0	100.8	70.7	1464
180324	431.0	64	63.7	1464
180417	474.8	26.1	20.4	1464
180430	264.1	169	300	1464
180515	355.2	32.6	19.3	1464
180525	388.1	30.8	27.5	1464
180924	362.4	40.5	27.7	1489
181112	589.0	40.2	29.1	1466
190102	364.5	57.3	43.3	1440
190608	339.5	37.2	26.6	1440
190611.2	322.2	57.6	43.6	1440
190711	592.63	56.6	42.8	1440
190714	504.13	38.5	31.2	1440


